time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  | th6                                  | th7                                  | th8                                  | th9                                  | th10                                 
124       | SWRDY ()                             | EXECUTING (F2,F3)                    | READY (F1)                           | READY (F6,F7,F8,F9,F0)               |                                      | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | READY (F2,F3)                        
125       | SWRDY ()                             | EXECUTING (F2,F3)                    | READY (F1)                           | READY (F6,F7,F8,F9,F0)               |                                      | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | READY (F2,F3)                        
126       | SWRDY ()                             | INTERRUPTIBLE (F2,F3)                | READY (F1)                           | READY (F6,F7,F8,F9,F0)               |                                      | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | READY (F2,F3)                        
127       | SWRDY ()                             | READY (F2,F3)                        | READY (F1)                           | READY (F6,F7,F8,F9,F0)               |                                      | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | READY (F2,F3)                        
128       | SWRDY ()                             | READY (F2,F3)                        | READY (F1)                           | READY (F6,F7,F8,F9,F0)               |                                      | READY (F4,F5)                        | READY (F6,F7,F8,F9,F0)               | READY (F1)                           |                                      | READY (F2,F3)                        
129       | EXECUTING (F4,F5,F6,F7,F8,F9)        | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
130       | EXECUTING (F4,F5,F6,F7,F8,F9)        | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
131       | INTERRUPTIBLE (F4,F5,F6,F7,F8,F9)    | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
132       | INTERRUPTIBLE (F4,F5,F6,F7,F8,F9)    | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
133       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
134       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | EXECUTING (F1)                       | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
135       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | EXECUTING (F1)                       | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
136       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | EXECUTING (F1)                       | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
137       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
138       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
139       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
140       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | EXECUTING (F2,F3)                    
141       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | EXECUTING (F2,F3)                    
142       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | EXECUTING (F2,F3)                    
143       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | INTERRUPTIBLE (F2,F3)                
144       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
145       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | READY (F1)                           | SWRDY (F0)                           |                                      | SWRDY ()                             | SWRDY (F0)                           | READY (F1)                           |                                      | READY (F2,F3)                        
146       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | SWRDY ()                             | SWRDY ()                             |                                      | EXECUTING (F0,F1)                    | SWRDY ()                             | SWRDY ()                             |                                      | READY (F2,F3)                        
147       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | SWRDY ()                             | SWRDY ()                             |                                      | EXECUTING (F0,F1)                    | SWRDY ()                             | SWRDY ()                             |                                      | READY (F2,F3)                        
148       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | SWRDY ()                             | SWRDY ()                             |                                      | EXECUTING (F0,F1)                    | SWRDY ()                             | SWRDY ()                             |                                      | READY (F2,F3)                        
149       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | SWRDY ()                             | SWRDY ()                             |                                      | INTERRUPTIBLE (F0,F1)                | SWRDY ()                             | SWRDY ()                             |                                      | READY (F2,F3)                        
150       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | SWRDY ()                             | SWRDY ()                             |                                      | INTERRUPTIBLE (F0,F1)                | SWRDY ()                             | SWRDY ()                             |                                      | READY (F2,F3)                        
151       | READY (F4,F5,F6,F7,F8,F9)            | READY (F2,F3)                        | SWRDY ()                             | SWRDY ()                             |                                      | INTERRUPTIBLE (F0,F1)                | SWRDY ()                             | SWRDY ()                             |                                      | READY (F2,F3)                        
152       | SWRDY (F7,F8,F9)                     | SWRDY ()                             | SWRDY ()                             | EXECUTING (F2,F3,F4,F5,F6)           |                                      | INTERRUPTIBLE (F0,F1)                | READY (F2,F3,F4,F5,F6)               | SWRDY ()                             |                                      | SWRDY ()                             
153       | SWRDY (F7,F8,F9)                     | SWRDY ()                             | SWRDY ()                             | ZOMBIE (F2,F3,F4,F5,F6)              |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | SWRDY ()                             |                                      | SWRDY ()                             
154       | SWRDY (F7,F8,F9)                     | SWRDY ()                             | SWRDY ()                             | ZOMBIE (F2,F3,F4,F5,F6)              |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | SWRDY ()                             |                                      | SWRDY ()                             
155       | SWRDY (F7,F8,F9)                     | SWRDY ()                             | SWRDY ()                             |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | SWRDY ()                             |                                      | SWRDY ()                             
156       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | EXECUTING (F7)                       |                                      | SWRDY ()                             
157       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | INTERRUPTIBLE (F7)                   |                                      | SWRDY ()                             
158       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | INTERRUPTIBLE (F7)                   |                                      | SWRDY ()                             
159       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | SWRDY ()                             
160       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | EXECUTING (F2,F3,F4,F5,F6)           | READY (F7)                           |                                      | SWRDY ()                             
161       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | EXECUTING (F2,F3,F4,F5,F6)           | READY (F7)                           |                                      | SWRDY ()                             
162       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | INTERRUPTIBLE (F2,F3,F4,F5,F6)       | READY (F7)                           |                                      | SWRDY ()                             
163       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | SWRDY ()                             
164       | SWRDY (F8,F9)                        | SWRDY ()                             | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | SWRDY ()                             
165       | SWRDY ()                             | EXECUTING (F8,F9)                    | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | READY (F8,F9)                        
166       | SWRDY ()                             | EXECUTING (F8,F9)                    | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | READY (F8,F9)                        
167       | SWRDY ()                             | EXECUTING (F8,F9)                    | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | READY (F8,F9)                        
168       | SWRDY ()                             | INTERRUPTIBLE (F8,F9)                | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | READY (F8,F9)                        
169       | SWRDY ()                             | INTERRUPTIBLE (F8,F9)                | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | READY (F8,F9)                        
170       | SWRDY ()                             | INTERRUPTIBLE (F8,F9)                | READY (F7)                           |                                      |                                      | READY (F0,F1)                        | READY (F2,F3,F4,F5,F6)               | READY (F7)                           |                                      | READY (F8,F9)                        
171       | EXECUTING (F0,F1,F2,F3,F4,F5)        | INTERRUPTIBLE (F8,F9)                | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
172       | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | INTERRUPTIBLE (F8,F9)                | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
173       | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | READY (F8,F9)                        | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
174       | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | READY (F8,F9)                        | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
175       | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | READY (F8,F9)                        | EXECUTING (F7)                       |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
176       | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | READY (F8,F9)                        | INTERRUPTIBLE (F7)                   |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
177       | INTERRUPTIBLE (F0,F1,F2,F3,F4,F5)    | READY (F8,F9)                        | INTERRUPTIBLE (F7)                   |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
178       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | READY (F8,F9)                        
179       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | EXECUTING (F8,F9)                    
180       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | INTERRUPTIBLE (F8,F9)                
181       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | INTERRUPTIBLE (F8,F9)                
182       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | READY (F7)                           |                                      |                                      | SWRDY ()                             | SWRDY (F6)                           | READY (F7)                           |                                      | INTERRUPTIBLE (F8,F9)                
183       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | SWRDY ()                             |                                      |                                      | EXECUTING (F6,F7)                    | SWRDY ()                             | SWRDY ()                             |                                      | INTERRUPTIBLE (F8,F9)                
184       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | SWRDY ()                             |                                      |                                      | EXECUTING (F6,F7)                    | SWRDY ()                             | SWRDY ()                             |                                      | INTERRUPTIBLE (F8,F9)                
185       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | SWRDY ()                             |                                      |                                      | ZOMBIE (F6,F7)                       | SWRDY ()                             | SWRDY ()                             |                                      | READY (F8,F9)                        
186       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | SWRDY ()                             |                                      |                                      | ZOMBIE (F6,F7)                       | SWRDY ()                             | SWRDY ()                             |                                      | READY (F8,F9)                        
187       | READY (F0,F1,F2,F3,F4,F5)            | READY (F8,F9)                        | SWRDY ()                             |                                      |                                      |                                      | SWRDY ()                             | SWRDY ()                             |                                      | READY (F8,F9)                        
188       | READY (F0,F1,F2,F3,F4,F5)            | SWRDY (F9)                           | READY (F8)                           |                                      |                                      |                                      | SWRDY ()                             | EXECUTING (F8)                       |                                      | SWRDY (F9)                           
189       | READY (F0,F1,F2,F3,F4,F5)            | SWRDY (F9)                           | READY (F8)                           |                                      |                                      |                                      | SWRDY ()                             | INTERRUPTIBLE (F8)                   |                                      | SWRDY (F9)                           
190       | READY (F0,F1,F2,F3,F4,F5)            | SWRDY (F9)                           | READY (F8)                           |                                      |                                      |                                      | SWRDY ()                             | INTERRUPTIBLE (F8)                   |                                      | SWRDY (F9)                           
191       | READY (F0,F1,F2,F3,F4,F5)            | SWRDY (F9)                           | READY (F8)                           |                                      |                                      |                                      | SWRDY ()                             | INTERRUPTIBLE (F8)                   |                                      | SWRDY (F9)                           
192       | SWRDY (F4,F5)                        | SWRDY ()                             | READY (F8)                           |                                      |                                      |                                      | EXECUTING (F9,F0,F1,F2,F3)           | INTERRUPTIBLE (F8)                   |                                      | SWRDY ()                             
193       | SWRDY (F4,F5)                        | SWRDY ()                             | READY (F8)                           |                                      |                                      |                                      | EXECUTING (F9,F0,F1,F2,F3)           | READY (F8)                           |                                      | SWRDY ()                             
194       | SWRDY (F4,F5)                        | SWRDY ()                             | READY (F8)                           |                                      |                                      |                                      | EXECUTING (F9,F0,F1,F2,F3)           | READY (F8)                           |                                      | SWRDY ()                             
195       | SWRDY (F4,F5)                        | SWRDY ()                             | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | SWRDY ()                             
196       | SWRDY (F4,F5)                        | SWRDY ()                             | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | SWRDY ()                             
197       | SWRDY (F4,F5)                        | SWRDY ()                             | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | SWRDY ()                             
198       | SWRDY ()                             | EXECUTING (F4,F5)                    | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | READY (F4,F5)                        
199       | SWRDY ()                             | EXECUTING (F4,F5)                    | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | READY (F4,F5)                        
200       | SWRDY ()                             | EXECUTING (F4,F5)                    | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | READY (F4,F5)                        
201       | SWRDY ()                             | ZOMBIE (F4,F5)                       | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | READY (F4,F5)                        
202       | SWRDY ()                             | ZOMBIE (F4,F5)                       | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | READY (F4,F5)                        
203       | SWRDY ()                             |                                      | READY (F8)                           |                                      |                                      |                                      | READY (F9,F0,F1,F2,F3)               | READY (F8)                           |                                      | READY (F4,F5)                        
204       | EXECUTING (F6,F7,F8,F9,F0,F1)        |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F2,F3)                        | SWRDY ()                             |                                      | READY (F4,F5)                        
205       | INTERRUPTIBLE (F6,F7,F8,F9,F0,F1)    |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F2,F3)                        | SWRDY ()                             |                                      | READY (F4,F5)                        
206       | READY (F6,F7,F8,F9,F0,F1)            |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F2,F3)                        | SWRDY ()                             |                                      | READY (F4,F5)                        
207       | READY (F6,F7,F8,F9,F0,F1)            |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F2,F3)                        | SWRDY ()                             |                                      | READY (F4,F5)                        
208       | READY (F6,F7,F8,F9,F0,F1)            |                                      | EXECUTING (F2)                       |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      | READY (F4,F5)                        
209       | READY (F6,F7,F8,F9,F0,F1)            |                                      | INTERRUPTIBLE (F2)                   |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      | READY (F4,F5)                        
210       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      | READY (F4,F5)                        
211       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      | READY (F4,F5)                        
212       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      | EXECUTING (F4,F5)                    
213       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      | ZOMBIE (F4,F5)                       
214       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      | ZOMBIE (F4,F5)                       
215       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | READY (F2)                           |                                      |                                      
216       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | EXECUTING (F2)                       |                                      |                                      
217       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | EXECUTING (F2)                       |                                      |                                      
218       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | ZOMBIE (F2)                          |                                      |                                      
219       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           | ZOMBIE (F2)                          |                                      |                                      
220       | READY (F6,F7,F8,F9,F0,F1)            |                                      | READY (F2)                           |                                      |                                      |                                      | SWRDY (F3)                           |                                      |                                      |                                      
221       | SWRDY (F8,F9,F0,F1)                  |                                      | READY (F2)                           |                                      |                                      |                                      | EXECUTING (F3,F4,F5,F6,F7)           |                                      |                                      |                                      
222       | SWRDY (F8,F9,F0,F1)                  |                                      | READY (F2)                           |                                      |                                      |                                      | INTERRUPTIBLE (F3,F4,F5,F6,F7)       |                                      |                                      |                                      
223       | SWRDY (F8,F9,F0,F1)                  |                                      | READY (F2)                           |                                      |                                      |                                      | INTERRUPTIBLE (F3,F4,F5,F6,F7)       |                                      |                                      |                                      
224       | SWRDY (F8,F9,F0,F1)                  |                                      | READY (F2)                           |                                      |                                      |                                      | INTERRUPTIBLE (F3,F4,F5,F6,F7)       |                                      |                                      |                                      
225       | EXECUTING (F8,F9,F0,F1,F2,F3)        |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F4,F5,F6,F7)                  |                                      |                                      |                                      
226       | EXECUTING (F8,F9,F0,F1,F2,F3)        |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F4,F5,F6,F7)                  |                                      |                                      |                                      
227       | EXECUTING (F8,F9,F0,F1,F2,F3)        |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F4,F5,F6,F7)                  |                                      |                                      |                                      
228       | ZOMBIE (F8,F9,F0,F1,F2,F3)           |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F4,F5,F6,F7)                  |                                      |                                      |                                      
229       | ZOMBIE (F8,F9,F0,F1,F2,F3)           |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F4,F5,F6,F7)                  |                                      |                                      |                                      
230       |                                      |                                      | SWRDY ()                             |                                      |                                      |                                      | SWRDY (F4,F5,F6,F7)                  |                                      |                                      |                                      
231       |                                      |                                      | EXECUTING (F4)                       |                                      |                                      |                                      | SWRDY (F5,F6,F7)                     |                                      |                                      |                                      
232       |                                      |                                      | EXECUTING (F4)                       |                                      |                                      |                                      | SWRDY (F5,F6,F7)                     |                                      |                                      |                                      
233       |                                      |                                      | ZOMBIE (F4)                          |                                      |                                      |                                      | SWRDY (F5,F6,F7)                     |                                      |                                      |                                      
234       |                                      |                                      | ZOMBIE (F4)                          |                                      |                                      |                                      | SWRDY (F5,F6,F7)                     |                                      |                                      |                                      
235       |                                      |                                      |                                      |                                      |                                      |                                      | SWRDY (F5,F6,F7)                     |                                      |                                      |                                      
236       |                                      |                                      |                                      |                                      |                                      |                                      | EXECUTING (F9,F5,F6,F7,F8)           |                                      |                                      |                                      
237       |                                      |                                      |                                      |                                      |                                      |                                      | EXECUTING (F9,F5,F6,F7,F8)           |                                      |                                      |                                      
238       |                                      |                                      |                                      |                                      |                                      |                                      | INTERRUPTIBLE (F9,F5,F6,F7,F8)       |                                      |                                      |                                      
239       |                                      |                                      |                                      |                                      |                                      |                                      | INTERRUPTIBLE (F9,F5,F6,F7,F8)       |                                      |                                      |                                      
240       |                                      |                                      |                                      |                                      |                                      |                                      | INTERRUPTIBLE (F9,F5,F6,F7,F8)       |                                      |                                      |                                      
241       |                                      |                                      |                                      |                                      |                                      |                                      | READY (F9,F5,F6,F7,F8)               |                                      |                                      |                                      
242       |                                      |                                      |                                      |                                      |                                      |                                      | EXECUTING (F9,F5,F6,F7,F8)           |                                      |                                      |                                      
243       |                                      |                                      |                                      |                                      |                                      |                                      | ZOMBIE (F9,F5,F6,F7,F8)              |                                      |                                      |                                      
244       |                                      |                                      |                                      |                                      |                                      |                                      | ZOMBIE (F9,F5,F6,F7,F8)              |                                      |                                      |                                      
