time inst | th1                                  | th2                                  | th3                                  | th4                                  | th5                                  | th6                                  | th7                                  | th8                                  | th9                                  | th10                                 
41        | READY (F0,F5,F6,F7,F8,F9)            | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | EXECUTING (F2,F3,F4)                 | SWINT ()                             
42        | READY (F0,F5,F6,F7,F8,F9)            | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | EXECUTING (F2,F3,F4)                 | SWRDY ()                             
43        | READY (F0,F5,F6,F7,F8,F9)            | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
44        | READY (F0,F5,F6,F7,F8,F9)            | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
45        | READY (F0,F5,F6,F7,F8,F9)            | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
46        | SWRDY (F0,F7,F8,F9)                  | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | READY (F5,F6)                        | EXECUTING (F5,F6)                    | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
47        | SWRDY (F0,F7,F8,F9)                  | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | READY (F5,F6)                        | EXECUTING (F5,F6)                    | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
48        | SWRDY (F0,F7,F8,F9)                  | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | READY (F5,F6)                        | EXECUTING (F5,F6)                    | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
49        | SWRDY (F0,F7,F8,F9)                  | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | READY (F5,F6)                        | READY (F5,F6)                        | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
50        | SWRDY (F0,F7,F8,F9)                  | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | READY (F5,F6)                        | READY (F5,F6)                        | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
51        | SWRDY (F0,F7,F8,F9)                  | SWRDY ()                             | READY (F1)                           | SWRDY ()                             | READY (F5,F6)                        | READY (F5,F6)                        | SWRDY ()                             | READY (F1)                           | READY (F2,F3,F4)                     | SWRDY ()                             
52        | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | EXECUTING (F7,F8,F9,F0,F1)           | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | SWRDY ()                             | READY (F2,F3,F4)                     | SWRDY ()                             
53        | SWRDY ()                             | SWRDY ()                             | SWRDY ()                             | EXECUTING (F7,F8,F9,F0,F1)           | READY (F5,F6)                        | READY (F5,F6)                        | READY (F7,F8,F9,F0,F1)               | SWRDY ()                             | READY (F2,F3,F4)                     | SWRDY ()                             
